index,product,category,sale_price,brand,description,barcode
254,Odonil Air Freshener,Home Care,3773.57,Hindustan Unilever,Hindustan Unilever Odonil Air Freshener available in Indian market.,8900000000254
255,Dove Shampoo,Personal Care,3540.59,Hindustan Unilever,Hindustan Unilever Dove Shampoo available in Indian market.,8900000000255
256,Paper Boat Drink,Beverages,2664.73,PepsiCo,PepsiCo Paper Boat Drink available in Indian market.,8900000000256
257,Allen Solly Belt,Fashion,3692.4,Levis,Levis Allen Solly Belt available in Indian market.,8900000000257
258,Britannia Bread,Food,1890.63,Haldiram,Haldiram Britannia Bread available in Indian market.,8900000000258
259,Pears Soap,Personal Care,770.79,Emami,Emami Pears Soap available in Indian market.,8900000000259
260,Nike Shoes,Fashion,1577.8,Bata,Bata Nike Shoes available in Indian market.,8900000000260
261,Amul Paneer,Dairy,3398.22,Nestle,Nestle Amul Paneer available in Indian market.,8900000000261
262,Britannia Cheese Slices,Dairy,4557.31,Nestle,Nestle Britannia Cheese Slices available in Indian market.,8900000000262
263,Amul Cheese,Dairy,240.97,Amul,Amul Amul Cheese available in Indian market.,8900000000263
264,Govardhan Ghee,Dairy,4906.3,Amul,Amul Govardhan Ghee available in Indian market.,8900000000264
265,Frooti Mango Drink,Beverages,1443.0,Dabur,Dabur Frooti Mango Drink available in Indian market.,8900000000265
266,Puma Sports T-Shirt,Fashion,4953.75,Van Heusen,Van Heusen Puma Sports T-Shirt available in Indian market.,8900000000266
267,Real Fruit Juice,Beverages,4045.12,Parle Agro,Parle Agro Real Fruit Juice available in Indian market.,8900000000267
268,Amul Butter,Dairy,1339.32,Amul,Amul Amul Butter available in Indian market.,8900000000268
269,Boat Headphones,Electronics,4009.43,Philips,Philips Boat Headphones available in Indian market.,8900000000269
270,Haldiram Bhujia,Food,2255.78,Nestle,Nestle Haldiram Bhujia available in Indian market.,8900000000270
271,Domex Cleaner,Home Care,3152.73,P&G,P&G Domex Cleaner available in Indian market.,8900000000271
272,Dettol Disinfectant,Home Care,2214.02,Reckitt,Reckitt Dettol Disinfectant available in Indian market.,8900000000272
273,Pepsi 500ml,Beverages,2916.29,PepsiCo,PepsiCo Pepsi 500ml available in Indian market.,8900000000273
274,Samsung Charger,Electronics,1897.84,Boat,Boat Samsung Charger available in Indian market.,8900000000274
275,Peter England Shirt,Fashion,4829.25,Levis,Levis Peter England Shirt available in Indian market.,8900000000275
276,Sunsilk Conditioner,Personal Care,2667.38,Pears,Pears Sunsilk Conditioner available in Indian market.,8900000000276
277,OnePlus Data Cable,Electronics,4042.77,Logitech,Logitech OnePlus Data Cable available in Indian market.,8900000000277
278,Tata Salt,Food,511.77,Britannia,Britannia Tata Salt available in Indian market.,8900000000278
279,Frooti Mango Drink,Beverages,2840.89,Tropicana,Tropicana Frooti Mango Drink available in Indian market.,8900000000279
280,Britannia Cheese Slices,Dairy,4713.64,Mother Dairy,Mother Dairy Britannia Cheese Slices available in Indian market.,8900000000280
281,Fair & Lovely Cream,Personal Care,4217.92,Colgate,Colgate Fair & Lovely Cream available in Indian market.,8900000000281
282,Britannia Cheese Slices,Dairy,2519.96,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000282
283,Amul Butter,Dairy,251.88,Nestle,Nestle Amul Butter available in Indian market.,8900000000283
284,Coca-Cola 500ml,Beverages,830.08,Coca-Cola,Coca-Cola Coca-Cola 500ml available in Indian market.,8900000000284
285,Colgate Toothpaste,Personal Care,3988.2,Emami,Emami Colgate Toothpaste available in Indian market.,8900000000285
286,Amul Paneer,Dairy,451.0,Mother Dairy,Mother Dairy Amul Paneer available in Indian market.,8900000000286
287,Govardhan Ghee,Dairy,4605.06,Britannia,Britannia Govardhan Ghee available in Indian market.,8900000000287
288,Haldiram Bhujia,Food,3698.08,Tata,Tata Haldiram Bhujia available in Indian market.,8900000000288
289,Amul Cheese,Dairy,183.39,Nestle,Nestle Amul Cheese available in Indian market.,8900000000289
290,Logitech Webcam,Electronics,2920.8,Logitech,Logitech Logitech Webcam available in Indian market.,8900000000290
291,Allen Solly Belt,Fashion,2644.51,Puma,Puma Allen Solly Belt available in Indian market.,8900000000291
292,Red Bull,Beverages,1629.09,Parle Agro,Parle Agro Red Bull available in Indian market.,8900000000292
293,Boat Headphones,Electronics,3039.15,Samsung,Samsung Boat Headphones available in Indian market.,8900000000293
294,OnePlus Data Cable,Electronics,3609.19,Mi,Mi OnePlus Data Cable available in Indian market.,8900000000294
295,Domex Cleaner,Home Care,1434.4,Hindustan Unilever,Hindustan Unilever Domex Cleaner available in Indian market.,8900000000295
296,Fair & Lovely Cream,Personal Care,3810.36,Hindustan Unilever,Hindustan Unilever Fair & Lovely Cream available in Indian market.,8900000000296
297,Britannia Cheese Slices,Dairy,4972.01,Mother Dairy,Mother Dairy Britannia Cheese Slices available in Indian market.,8900000000297
298,Maggi Noodles,Food,4211.17,Tata,Tata Maggi Noodles available in Indian market.,8900000000298
299,Van Heusen Tie,Fashion,87.31,Allen Solly,Allen Solly Van Heusen Tie available in Indian market.,8900000000299
300,Amul Butter,Dairy,4607.11,Govardhan,Govardhan Amul Butter available in Indian market.,8900000000300
301,Odonil Air Freshener,Home Care,2382.17,Reckitt,Reckitt Odonil Air Freshener available in Indian market.,8900000000301
302,Tropicana Orange Juice,Beverages,4518.48,Tropicana,Tropicana Tropicana Orange Juice available in Indian market.,8900000000302
303,Raymond Formal Pants,Fashion,1645.24,Puma,Puma Raymond Formal Pants available in Indian market.,8900000000303
304,Peter England Shirt,Fashion,1747.95,Van Heusen,Van Heusen Peter England Shirt available in Indian market.,8900000000304
305,Bata Sandals,Fashion,318.05,Levis,Levis Bata Sandals available in Indian market.,8900000000305
306,Tropicana Orange Juice,Beverages,4722.8,Tropicana,Tropicana Tropicana Orange Juice available in Indian market.,8900000000306
307,Pears Soap,Personal Care,3034.16,Dettol,Dettol Pears Soap available in Indian market.,8900000000307
308,Logitech Webcam,Electronics,3334.97,Boat,Boat Logitech Webcam available in Indian market.,8900000000308
309,Philips Trimmer,Electronics,577.21,Mi,Mi Philips Trimmer available in Indian market.,8900000000309
310,Allen Solly Belt,Fashion,4990.24,Allen Solly,Allen Solly Allen Solly Belt available in Indian market.,8900000000310
311,Parle-G Biscuits,Food,852.31,ITC,ITC Parle-G Biscuits available in Indian market.,8900000000311
312,Lizol Floor Cleaner,Home Care,410.66,SC Johnson,SC Johnson Lizol Floor Cleaner available in Indian market.,8900000000312
313,Vim Dishwash Gel,Home Care,2917.92,Hindustan Unilever,Hindustan Unilever Vim Dishwash Gel available in Indian market.,8900000000313
314,Mi Power Bank 10000mAh,Electronics,4582.36,Zebronics,Zebronics Mi Power Bank 10000mAh available in Indian market.,8900000000314
315,Parle-G Biscuits,Food,1932.07,Fortune,Fortune Parle-G Biscuits available in Indian market.,8900000000315
316,Bata Sandals,Fashion,3654.75,Peter England,Peter England Bata Sandals available in Indian market.,8900000000316
317,Colgate Toothpaste,Personal Care,3782.36,Pears,Pears Colgate Toothpaste available in Indian market.,8900000000317
318,Nestle Yogurt,Dairy,547.65,Nestle,Nestle Nestle Yogurt available in Indian market.,8900000000318
319,Dettol Handwash,Personal Care,4338.63,Hindustan Unilever,Hindustan Unilever Dettol Handwash available in Indian market.,8900000000319
320,Dove Shampoo,Personal Care,1655.31,Emami,Emami Dove Shampoo available in Indian market.,8900000000320
321,Clinic Plus Shampoo,Personal Care,822.58,Pears,Pears Clinic Plus Shampoo available in Indian market.,8900000000321
322,Bisleri Water 1L,Beverages,4352.31,Dabur,Dabur Bisleri Water 1L available in Indian market.,8900000000322
323,Aashirvaad Atta,Food,4041.26,Haldiram,Haldiram Aashirvaad Atta available in Indian market.,8900000000323
324,Clinic Plus Shampoo,Personal Care,1701.61,Colgate,Colgate Clinic Plus Shampoo available in Indian market.,8900000000324
325,Tropicana Orange Juice,Beverages,3920.21,Coca-Cola,Coca-Cola Tropicana Orange Juice available in Indian market.,8900000000325
326,Fortune Sunflower Oil,Food,1997.52,Tata,Tata Fortune Sunflower Oil available in Indian market.,8900000000326
327,Lifebuoy Handwash,Personal Care,1315.06,Dettol,Dettol Lifebuoy Handwash available in Indian market.,8900000000327
328,Amul Cheese,Dairy,930.15,Govardhan,Govardhan Amul Cheese available in Indian market.,8900000000328
329,Maggi Noodles,Food,1748.78,Britannia,Britannia Maggi Noodles available in Indian market.,8900000000329
330,OnePlus Data Cable,Electronics,4695.75,Logitech,Logitech OnePlus Data Cable available in Indian market.,8900000000330
331,Tata Salt,Food,632.13,ITC,ITC Tata Salt available in Indian market.,8900000000331
332,Dettol Handwash,Personal Care,808.25,Pears,Pears Dettol Handwash available in Indian market.,8900000000332
333,Haldiram Bhujia,Food,2516.96,Haldiram,Haldiram Haldiram Bhujia available in Indian market.,8900000000333
334,Lizol Floor Cleaner,Home Care,3374.58,Reckitt,Reckitt Lizol Floor Cleaner available in Indian market.,8900000000334
335,Dettol Handwash,Personal Care,3960.94,Pears,Pears Dettol Handwash available in Indian market.,8900000000335
336,Nestle Yogurt,Dairy,3777.57,Britannia,Britannia Nestle Yogurt available in Indian market.,8900000000336
337,Real Fruit Juice,Beverages,3013.14,Coca-Cola,Coca-Cola Real Fruit Juice available in Indian market.,8900000000337
338,Parle-G Biscuits,Food,2053.31,Britannia,Britannia Parle-G Biscuits available in Indian market.,8900000000338
339,Britannia Cheese Slices,Dairy,2843.88,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000339
340,Tropicana Orange Juice,Beverages,1276.91,Coca-Cola,Coca-Cola Tropicana Orange Juice available in Indian market.,8900000000340
341,Nestle Yogurt,Dairy,4087.61,Nestle,Nestle Nestle Yogurt available in Indian market.,8900000000341
342,Dove Shampoo,Personal Care,3051.9,Lifebuoy,Lifebuoy Dove Shampoo available in Indian market.,8900000000342
343,Pepsi 500ml,Beverages,824.2,Dabur,Dabur Pepsi 500ml available in Indian market.,8900000000343
344,Coca-Cola 500ml,Beverages,2326.98,PepsiCo,PepsiCo Coca-Cola 500ml available in Indian market.,8900000000344
345,Britannia Cheese Slices,Dairy,955.68,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000345
346,Van Heusen Tie,Fashion,1817.3,Nike,Nike Van Heusen Tie available in Indian market.,8900000000346
347,Levis Jeans,Fashion,1553.42,Levis,Levis Levis Jeans available in Indian market.,8900000000347
348,Good Day Cookies,Food,1955.12,Parle,Parle Good Day Cookies available in Indian market.,8900000000348
349,Clinic Plus Shampoo,Personal Care,438.97,Pears,Pears Clinic Plus Shampoo available in Indian market.,8900000000349
350,Tata Salt,Food,4013.75,Tata,Tata Tata Salt available in Indian market.,8900000000350
351,Real Fruit Juice,Beverages,2812.88,Tropicana,Tropicana Real Fruit Juice available in Indian market.,8900000000351
352,Ambi Pur Air Freshener,Home Care,1298.26,Godrej,Godrej Ambi Pur Air Freshener available in Indian market.,8900000000352
353,Bisleri Water 1L,Beverages,227.85,Tropicana,Tropicana Bisleri Water 1L available in Indian market.,8900000000353
354,Allen Solly Belt,Fashion,2996.99,Van Heusen,Van Heusen Allen Solly Belt available in Indian market.,8900000000354
355,Paper Boat Drink,Beverages,2125.07,Coca-Cola,Coca-Cola Paper Boat Drink available in Indian market.,8900000000355
356,Lizol Floor Cleaner,Home Care,1373.46,Reckitt,Reckitt Lizol Floor Cleaner available in Indian market.,8900000000356
357,Real Fruit Juice,Beverages,21.11,Dabur,Dabur Real Fruit Juice available in Indian market.,8900000000357
358,Aashirvaad Atta,Food,2672.87,Britannia,Britannia Aashirvaad Atta available in Indian market.,8900000000358
359,Bisleri Water 1L,Beverages,1061.44,PepsiCo,PepsiCo Bisleri Water 1L available in Indian market.,8900000000359
360,Real Fruit Juice,Beverages,2002.69,Parle Agro,Parle Agro Real Fruit Juice available in Indian market.,8900000000360
361,OnePlus Data Cable,Electronics,3932.79,HP,HP OnePlus Data Cable available in Indian market.,8900000000361
362,Good Day Cookies,Food,921.78,ITC,ITC Good Day Cookies available in Indian market.,8900000000362
363,Colgate Toothpaste,Personal Care,694.78,Hindustan Unilever,Hindustan Unilever Colgate Toothpaste available in Indian market.,8900000000363
364,Govardhan Ghee,Dairy,2526.85,Govardhan,Govardhan Govardhan Ghee available in Indian market.,8900000000364
365,Fortune Sunflower Oil,Food,1985.28,Parle,Parle Fortune Sunflower Oil available in Indian market.,8900000000365
366,Clinic Plus Shampoo,Personal Care,4047.19,Emami,Emami Clinic Plus Shampoo available in Indian market.,8900000000366
367,Britannia Cheese Slices,Dairy,369.3,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000367
368,Bisleri Water 1L,Beverages,252.05,Dabur,Dabur Bisleri Water 1L available in Indian market.,8900000000368
369,Philips Trimmer,Electronics,3596.86,HP,HP Philips Trimmer available in Indian market.,8900000000369
370,Dove Shampoo,Personal Care,1450.82,Hindustan Unilever,Hindustan Unilever Dove Shampoo available in Indian market.,8900000000370
371,Amul Paneer,Dairy,3311.25,Britannia,Britannia Amul Paneer available in Indian market.,8900000000371
372,Nike Shoes,Fashion,2817.5,Van Heusen,Van Heusen Nike Shoes available in Indian market.,8900000000372
373,Raymond Formal Pants,Fashion,2270.15,Puma,Puma Raymond Formal Pants available in Indian market.,8900000000373
374,Amul Cheese,Dairy,4074.51,Nestle,Nestle Amul Cheese available in Indian market.,8900000000374
375,Pepsi 500ml,Beverages,4339.5,Coca-Cola,Coca-Cola Pepsi 500ml available in Indian market.,8900000000375
376,Samsung Charger,Electronics,2930.31,Philips,Philips Samsung Charger available in Indian market.,8900000000376
377,Coca-Cola 500ml,Beverages,2292.58,PepsiCo,PepsiCo Coca-Cola 500ml available in Indian market.,8900000000377
378,Amul Taaza Milk,Dairy,2377.55,Nestle,Nestle Amul Taaza Milk available in Indian market.,8900000000378
379,Dove Shampoo,Personal Care,2820.83,Dove,Dove Dove Shampoo available in Indian market.,8900000000379
380,Dove Shampoo,Personal Care,4812.29,Emami,Emami Dove Shampoo available in Indian market.,8900000000380
381,Britannia Bread,Food,1473.43,Parle,Parle Britannia Bread available in Indian market.,8900000000381
382,Nestle Yogurt,Dairy,4310.71,Nestle,Nestle Nestle Yogurt available in Indian market.,8900000000382
383,Frooti Mango Drink,Beverages,4144.59,PepsiCo,PepsiCo Frooti Mango Drink available in Indian market.,8900000000383
384,Allen Solly Belt,Fashion,1960.84,Levis,Levis Allen Solly Belt available in Indian market.,8900000000384
385,Real Fruit Juice,Beverages,759.23,Tropicana,Tropicana Real Fruit Juice available in Indian market.,8900000000385
386,Logitech Webcam,Electronics,715.03,HP,HP Logitech Webcam available in Indian market.,8900000000386
387,Britannia Bread,Food,1678.16,Tata,Tata Britannia Bread available in Indian market.,8900000000387
388,Dettol Disinfectant,Home Care,4313.51,Reckitt,Reckitt Dettol Disinfectant available in Indian market.,8900000000388
389,Nestle Yogurt,Dairy,15.49,Amul,Amul Nestle Yogurt available in Indian market.,8900000000389
390,Nike Shoes,Fashion,716.69,Peter England,Peter England Nike Shoes available in Indian market.,8900000000390
391,Colgate Toothpaste,Personal Care,3095.81,Emami,Emami Colgate Toothpaste available in Indian market.,8900000000391
392,Mother Dairy Dahi,Dairy,2003.6,Nestle,Nestle Mother Dairy Dahi available in Indian market.,8900000000392
393,Tropicana Orange Juice,Beverages,2737.82,PepsiCo,PepsiCo Tropicana Orange Juice available in Indian market.,8900000000393
394,Amul Taaza Milk,Dairy,944.02,Govardhan,Govardhan Amul Taaza Milk available in Indian market.,8900000000394
395,Ambi Pur Air Freshener,Home Care,1104.69,SC Johnson,SC Johnson Ambi Pur Air Freshener available in Indian market.,8900000000395
396,Odonil Air Freshener,Home Care,3053.65,Godrej,Godrej Odonil Air Freshener available in Indian market.,8900000000396
397,Pepsi 500ml,Beverages,1687.39,Coca-Cola,Coca-Cola Pepsi 500ml available in Indian market.,8900000000397
398,OnePlus Data Cable,Electronics,1494.84,Samsung,Samsung OnePlus Data Cable available in Indian market.,8900000000398
399,Allen Solly Belt,Fashion,314.02,Nike,Nike Allen Solly Belt available in Indian market.,8900000000399
400,Fair & Lovely Cream,Personal Care,3127.6,Colgate,Colgate Fair & Lovely Cream available in Indian market.,8900000000400
401,Amul Butter,Dairy,2632.72,Nestle,Nestle Amul Butter available in Indian market.,8900000000401
402,Tata Salt,Food,1487.57,ITC,ITC Tata Salt available in Indian market.,8900000000402
403,Odonil Air Freshener,Home Care,2826.42,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000403
404,Nike Shoes,Fashion,1482.91,Nike,Nike Nike Shoes available in Indian market.,8900000000404
405,Red Bull,Beverages,4039.02,Dabur,Dabur Red Bull available in Indian market.,8900000000405
406,Amul Paneer,Dairy,3380.98,Nestle,Nestle Amul Paneer available in Indian market.,8900000000406
407,Boat Headphones,Electronics,2006.8,HP,HP Boat Headphones available in Indian market.,8900000000407
408,Tropicana Orange Juice,Beverages,2165.17,Tropicana,Tropicana Tropicana Orange Juice available in Indian market.,8900000000408
409,Allen Solly Belt,Fashion,3591.2,Raymond,Raymond Allen Solly Belt available in Indian market.,8900000000409
410,Zebronics Mouse,Electronics,2446.56,OnePlus,OnePlus Zebronics Mouse available in Indian market.,8900000000410
411,Britannia Bread,Food,4471.44,Fortune,Fortune Britannia Bread available in Indian market.,8900000000411
412,Dove Shampoo,Personal Care,293.9,Dove,Dove Dove Shampoo available in Indian market.,8900000000412
413,Allen Solly Belt,Fashion,4239.02,Puma,Puma Allen Solly Belt available in Indian market.,8900000000413
414,Aashirvaad Atta,Food,445.73,Haldiram,Haldiram Aashirvaad Atta available in Indian market.,8900000000414
415,Raymond Formal Pants,Fashion,1211.81,Nike,Nike Raymond Formal Pants available in Indian market.,8900000000415
416,Puma Sports T-Shirt,Fashion,258.0,Levis,Levis Puma Sports T-Shirt available in Indian market.,8900000000416
417,HP Keyboard,Electronics,2364.62,Mi,Mi HP Keyboard available in Indian market.,8900000000417
418,Red Bull,Beverages,4102.3,PepsiCo,PepsiCo Red Bull available in Indian market.,8900000000418
419,Lifebuoy Handwash,Personal Care,741.74,Colgate,Colgate Lifebuoy Handwash available in Indian market.,8900000000419
420,Samsung Charger,Electronics,1533.84,Mi,Mi Samsung Charger available in Indian market.,8900000000420
421,Pears Soap,Personal Care,842.11,Emami,Emami Pears Soap available in Indian market.,8900000000421
422,Raymond Formal Pants,Fashion,850.03,Raymond,Raymond Raymond Formal Pants available in Indian market.,8900000000422
423,Aashirvaad Atta,Food,3510.79,ITC,ITC Aashirvaad Atta available in Indian market.,8900000000423
424,Amul Butter,Dairy,636.67,Mother Dairy,Mother Dairy Amul Butter available in Indian market.,8900000000424
425,Harpic Toilet Cleaner,Home Care,3070.02,P&G,P&G Harpic Toilet Cleaner available in Indian market.,8900000000425
426,Pears Soap,Personal Care,2498.82,Colgate,Colgate Pears Soap available in Indian market.,8900000000426
427,Lizol Floor Cleaner,Home Care,1830.16,Reckitt,Reckitt Lizol Floor Cleaner available in Indian market.,8900000000427
428,Aashirvaad Atta,Food,1400.87,ITC,ITC Aashirvaad Atta available in Indian market.,8900000000428
429,Daawat Basmati Rice,Food,2253.67,Nestle,Nestle Daawat Basmati Rice available in Indian market.,8900000000429
430,Vim Dishwash Gel,Home Care,1267.87,Reckitt,Reckitt Vim Dishwash Gel available in Indian market.,8900000000430
431,Amul Paneer,Dairy,2822.59,Mother Dairy,Mother Dairy Amul Paneer available in Indian market.,8900000000431
432,Tropicana Orange Juice,Beverages,3157.29,Tropicana,Tropicana Tropicana Orange Juice available in Indian market.,8900000000432
433,Zebronics Mouse,Electronics,766.78,Mi,Mi Zebronics Mouse available in Indian market.,8900000000433
434,Paper Boat Drink,Beverages,2810.1,Coca-Cola,Coca-Cola Paper Boat Drink available in Indian market.,8900000000434
435,Maggi Noodles,Food,3506.52,Nestle,Nestle Maggi Noodles available in Indian market.,8900000000435
436,Pepsi 500ml,Beverages,3045.94,Coca-Cola,Coca-Cola Pepsi 500ml available in Indian market.,8900000000436
437,Lifebuoy Handwash,Personal Care,1297.58,Lifebuoy,Lifebuoy Lifebuoy Handwash available in Indian market.,8900000000437
438,Pears Soap,Personal Care,3535.56,Colgate,Colgate Pears Soap available in Indian market.,8900000000438
439,Nike Shoes,Fashion,4971.55,Puma,Puma Nike Shoes available in Indian market.,8900000000439
440,Colgate Toothpaste,Personal Care,3893.64,Emami,Emami Colgate Toothpaste available in Indian market.,8900000000440
441,Good Day Cookies,Food,1523.36,ITC,ITC Good Day Cookies available in Indian market.,8900000000441
442,Nestle Yogurt,Dairy,1784.89,Amul,Amul Nestle Yogurt available in Indian market.,8900000000442
443,Red Bull,Beverages,984.46,PepsiCo,PepsiCo Red Bull available in Indian market.,8900000000443
444,Lifebuoy Handwash,Personal Care,11.44,Dettol,Dettol Lifebuoy Handwash available in Indian market.,8900000000444
445,Logitech Webcam,Electronics,856.08,Logitech,Logitech Logitech Webcam available in Indian market.,8900000000445
446,Mother Dairy Dahi,Dairy,3684.16,Govardhan,Govardhan Mother Dairy Dahi available in Indian market.,8900000000446
447,Fair & Lovely Cream,Personal Care,675.07,Hindustan Unilever,Hindustan Unilever Fair & Lovely Cream available in Indian market.,8900000000447
448,Sunsilk Conditioner,Personal Care,3301.06,Emami,Emami Sunsilk Conditioner available in Indian market.,8900000000448
449,Levis Jeans,Fashion,1343.88,Van Heusen,Van Heusen Levis Jeans available in Indian market.,8900000000449
450,Red Label Tea,Food,1501.07,Haldiram,Haldiram Red Label Tea available in Indian market.,8900000000450
451,Samsung Charger,Electronics,889.86,Logitech,Logitech Samsung Charger available in Indian market.,8900000000451
452,Logitech Webcam,Electronics,3742.91,OnePlus,OnePlus Logitech Webcam available in Indian market.,8900000000452
453,Tata Salt,Food,1675.32,Parle,Parle Tata Salt available in Indian market.,8900000000453
454,Pears Soap,Personal Care,4684.18,Colgate,Colgate Pears Soap available in Indian market.,8900000000454
455,Amul Cheese,Dairy,4844.53,Mother Dairy,Mother Dairy Amul Cheese available in Indian market.,8900000000455
456,Vim Dishwash Gel,Home Care,3609.21,Reckitt,Reckitt Vim Dishwash Gel available in Indian market.,8900000000456
457,Lizol Floor Cleaner,Home Care,3353.04,Hindustan Unilever,Hindustan Unilever Lizol Floor Cleaner available in Indian market.,8900000000457
458,Fortune Sunflower Oil,Food,3692.66,Haldiram,Haldiram Fortune Sunflower Oil available in Indian market.,8900000000458
459,Lizol Floor Cleaner,Home Care,4955.44,SC Johnson,SC Johnson Lizol Floor Cleaner available in Indian market.,8900000000459
460,Govardhan Ghee,Dairy,4738.1,Govardhan,Govardhan Govardhan Ghee available in Indian market.,8900000000460
461,Frooti Mango Drink,Beverages,1171.47,Parle Agro,Parle Agro Frooti Mango Drink available in Indian market.,8900000000461
462,Clinic Plus Shampoo,Personal Care,839.48,Pears,Pears Clinic Plus Shampoo available in Indian market.,8900000000462
463,Amul Taaza Milk,Dairy,1157.46,Nestle,Nestle Amul Taaza Milk available in Indian market.,8900000000463
464,Clinic Plus Shampoo,Personal Care,3732.37,Hindustan Unilever,Hindustan Unilever Clinic Plus Shampoo available in Indian market.,8900000000464
465,Sunsilk Conditioner,Personal Care,1350.44,Dettol,Dettol Sunsilk Conditioner available in Indian market.,8900000000465
466,Paper Boat Drink,Beverages,2462.39,PepsiCo,PepsiCo Paper Boat Drink available in Indian market.,8900000000466
467,Allen Solly Belt,Fashion,4195.75,Van Heusen,Van Heusen Allen Solly Belt available in Indian market.,8900000000467
468,Clinic Plus Shampoo,Personal Care,3221.09,Hindustan Unilever,Hindustan Unilever Clinic Plus Shampoo available in Indian market.,8900000000468
469,Fortune Sunflower Oil,Food,388.06,Britannia,Britannia Fortune Sunflower Oil available in Indian market.,8900000000469
470,Fortune Sunflower Oil,Food,3977.95,Parle,Parle Fortune Sunflower Oil available in Indian market.,8900000000470
471,Parle-G Biscuits,Food,3576.27,Nestle,Nestle Parle-G Biscuits available in Indian market.,8900000000471
472,Fair & Lovely Cream,Personal Care,450.69,Dove,Dove Fair & Lovely Cream available in Indian market.,8900000000472
473,Clinic Plus Shampoo,Personal Care,1341.73,Colgate,Colgate Clinic Plus Shampoo available in Indian market.,8900000000473
474,Boat Headphones,Electronics,1711.43,Philips,Philips Boat Headphones available in Indian market.,8900000000474
475,Vim Dishwash Gel,Home Care,1446.83,Godrej,Godrej Vim Dishwash Gel available in Indian market.,8900000000475
476,Amul Butter,Dairy,1770.94,Britannia,Britannia Amul Butter available in Indian market.,8900000000476
477,Samsung Charger,Electronics,3543.83,Boat,Boat Samsung Charger available in Indian market.,8900000000477
478,Puma Sports T-Shirt,Fashion,3206.44,Van Heusen,Van Heusen Puma Sports T-Shirt available in Indian market.,8900000000478
479,Peter England Shirt,Fashion,3967.7,Puma,Puma Peter England Shirt available in Indian market.,8900000000479
480,Amul Cheese,Dairy,3827.49,Britannia,Britannia Amul Cheese available in Indian market.,8900000000480
481,Pepsi 500ml,Beverages,4851.39,PepsiCo,PepsiCo Pepsi 500ml available in Indian market.,8900000000481
482,Mi Power Bank 10000mAh,Electronics,816.61,Mi,Mi Mi Power Bank 10000mAh available in Indian market.,8900000000482
483,Pepsi 500ml,Beverages,1726.68,Dabur,Dabur Pepsi 500ml available in Indian market.,8900000000483
484,Ambi Pur Air Freshener,Home Care,3205.29,Godrej,Godrej Ambi Pur Air Freshener available in Indian market.,8900000000484
485,Lifebuoy Handwash,Personal Care,4537.8,Lifebuoy,Lifebuoy Lifebuoy Handwash available in Indian market.,8900000000485
486,Levis Jeans,Fashion,117.01,Van Heusen,Van Heusen Levis Jeans available in Indian market.,8900000000486
487,Surf Excel,Home Care,956.79,Reckitt,Reckitt Surf Excel available in Indian market.,8900000000487
488,Philips Trimmer,Electronics,2579.9,Logitech,Logitech Philips Trimmer available in Indian market.,8900000000488
489,Tata Salt,Food,3887.32,Parle,Parle Tata Salt available in Indian market.,8900000000489
490,Bisleri Water 1L,Beverages,2356.92,Parle Agro,Parle Agro Bisleri Water 1L available in Indian market.,8900000000490
491,Nike Shoes,Fashion,2036.28,Van Heusen,Van Heusen Nike Shoes available in Indian market.,8900000000491
492,Logitech Webcam,Electronics,4727.99,Mi,Mi Logitech Webcam available in Indian market.,8900000000492
493,Fortune Sunflower Oil,Food,1502.3,Britannia,Britannia Fortune Sunflower Oil available in Indian market.,8900000000493
494,Maggi Noodles,Food,50.17,Parle,Parle Maggi Noodles available in Indian market.,8900000000494
495,Logitech Webcam,Electronics,245.67,Samsung,Samsung Logitech Webcam available in Indian market.,8900000000495
496,Allen Solly Belt,Fashion,4278.94,Levis,Levis Allen Solly Belt available in Indian market.,8900000000496
497,Amul Cheese,Dairy,1887.32,Britannia,Britannia Amul Cheese available in Indian market.,8900000000497
498,Pepsi 500ml,Beverages,4453.08,Parle Agro,Parle Agro Pepsi 500ml available in Indian market.,8900000000498
499,Pepsi 500ml,Beverages,1051.44,PepsiCo,PepsiCo Pepsi 500ml available in Indian market.,8900000000499
500,Odonil Air Freshener,Home Care,2487.41,Hindustan Unilever,Hindustan Unilever Odonil Air Freshener available in Indian market.,8900000000500
501,Mi Power Bank 10000mAh,Electronics,1582.03,Samsung,Samsung Mi Power Bank 10000mAh available in Indian market.,8900000000501
502,Britannia Bread,Food,467.39,ITC,ITC Britannia Bread available in Indian market.,8900000000502
503,Lizol Floor Cleaner,Home Care,1648.3,Godrej,Godrej Lizol Floor Cleaner available in Indian market.,8900000000503
504,Domex Cleaner,Home Care,3107.79,Reckitt,Reckitt Domex Cleaner available in Indian market.,8900000000504
505,Bisleri Water 1L,Beverages,4474.85,Parle Agro,Parle Agro Bisleri Water 1L available in Indian market.,8900000000505
506,OnePlus Data Cable,Electronics,1446.78,Logitech,Logitech OnePlus Data Cable available in Indian market.,8900000000506
507,Allen Solly Belt,Fashion,4703.49,Van Heusen,Van Heusen Allen Solly Belt available in Indian market.,8900000000507
